id,female,grade,bio2,ret,course,gen2,org2,phys2,mcat,gender
347,1,2.25,req_bio2,0,Bio,NA,NA,NA,NA,Female
349,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
353,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
355,0,1,req_bio2,0,Bio,NA,NA,NA,NA,Male
356,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
357,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
358,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
360,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
361,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
362,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
363,1,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
364,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
365,0,1,req_bio2,0,Bio,NA,NA,NA,NA,Male
367,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
369,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
371,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
372,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
374,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
376,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
378,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
379,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
380,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
382,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
383,1,1,req_bio2,0,Bio,NA,NA,NA,NA,Female
387,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
388,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
391,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
393,1,1.25,req_bio2,0,Bio,NA,NA,NA,NA,Female
396,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
397,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
398,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
399,1,1.75,req_bio2,0,Bio,NA,NA,NA,NA,Female
401,1,2.75,req_bio2,0,Bio,NA,NA,NA,NA,Female
402,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
403,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
404,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
405,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
406,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
407,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
409,1,2.75,req_bio2,0,Bio,NA,NA,NA,NA,Female
410,1,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
411,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
412,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
413,1,0,req_bio2,0,Bio,NA,NA,NA,NA,Female
415,1,2.75,req_bio2,0,Bio,NA,NA,NA,NA,Female
416,0,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
417,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
418,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
419,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
420,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
421,1,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
422,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
423,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
425,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
428,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
429,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
430,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
432,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
433,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
434,1,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
435,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
438,1,1.75,req_bio2,0,Bio,NA,NA,NA,NA,Female
439,0,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
440,0,3,req_bio2,0,Bio,NA,NA,NA,NA,Male
441,0,0,req_bio2,0,Bio,NA,NA,NA,NA,Male
442,1,1,req_bio2,0,Bio,NA,NA,NA,NA,Female
443,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
444,0,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
446,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
447,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
448,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
449,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
450,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
452,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
453,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
454,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
455,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
456,1,1.75,req_bio2,0,Bio,NA,NA,NA,NA,Female
457,0,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
458,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
459,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
460,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
465,0,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
466,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
468,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
470,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
471,1,2.75,req_bio2,0,Bio,NA,NA,NA,NA,Female
473,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
474,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
476,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
478,1,2.25,req_bio2,0,Bio,NA,NA,NA,NA,Female
480,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
481,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
482,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
483,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
484,0,2,req_bio2,0,Bio,NA,NA,NA,NA,Male
486,1,0.75,req_bio2,0,Bio,NA,NA,NA,NA,Female
488,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
490,0,2.25,req_bio2,0,Bio,NA,NA,NA,NA,Male
492,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
493,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
494,0,3,req_bio2,0,Bio,NA,NA,NA,NA,Male
495,0,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
496,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
497,1,0,req_bio2,0,Bio,NA,NA,NA,NA,Female
499,1,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
500,0,3,req_bio2,0,Bio,NA,NA,NA,NA,Male
502,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
503,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
504,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
505,1,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
506,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
507,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
508,1,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
511,0,1.75,req_bio2,0,Bio,NA,NA,NA,NA,Male
513,1,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
516,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
517,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
518,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
520,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
523,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
524,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
525,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
526,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
527,0,0,req_bio2,0,Bio,NA,NA,NA,NA,Male
528,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
532,0,2,req_bio2,0,Bio,NA,NA,NA,NA,Male
533,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
534,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
535,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
536,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
537,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
540,0,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
541,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
542,0,3,req_bio2,0,Bio,NA,NA,NA,NA,Male
543,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
544,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
546,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
550,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
551,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
553,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
554,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
556,1,0,req_bio2,0,Bio,NA,NA,NA,NA,Female
557,0,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
558,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
559,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
560,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
561,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
563,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
564,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
570,0,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
572,1,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
576,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
577,1,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
578,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
579,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
581,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
582,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
584,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
585,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
586,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
587,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
588,0,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
590,0,2,req_bio2,0,Bio,NA,NA,NA,NA,Male
592,0,1,req_bio2,0,Bio,NA,NA,NA,NA,Male
593,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
594,1,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
596,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
598,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
599,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
601,0,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
602,1,4,req_bio2,0,Bio,NA,NA,NA,NA,Female
